wordle_dict,V1,V2,V3,V4,V5,p 7,s 7,p 8,s 8,p 9,s 9,p 10,s 10,p 11,s 11,sumf,sum_uniqs,unique,score,rank,UxSUxSF,rank2
jasey,j,a,s,e,y,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,4.108849830403947,10.275979031760716,17.9386370644465,10.271353684859697,10.029293863706444,3.1976564909034844,51.07924761023743,33.428923835954365,5,255.39623805118714,2840.5,8537.621389802405,1941
jaspe,j,a,s,p,e,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,4.108849830403947,10.275979031760716,3.2223250077089114,3.112858464384829,11.732963305581253,10.271353684859697,38.066604995374654,33.34412580943571,5,190.33302497687328,6080.5,6346.488330519331,4304
jasps,j,a,s,p,s,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,4.108849830403947,10.275979031760716,3.2223250077089114,3.112858464384829,30.511871723712613,10.275979031760716,56.84551341350601,23.07277212457601,4,227.38205365402405,4129,5246.334309177412,6102
jatos,j,a,t,o,s,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,4.748689485044712,5.080172679617638,5.38082022818378,6.842429848905334,30.511871723712613,10.275979031760716,59.64384828862165,31.882516188714153,5,298.2192414431082,1368,9507.979793095952,1284
jauks,j,a,u,k,s,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,5.141843971631205,3.8714153561517115,3.8775824853530683,2.320382362010484,30.511871723712613,10.275979031760716,58.53376503237743,26.151711378353376,5,292.6688251618872,1561,7653.79064507544,2737
jaups,j,a,u,p,s,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,5.141843971631205,3.8714153561517115,3.2223250077089114,3.112858464384829,30.511871723712613,10.275979031760716,57.878507554733275,26.94418748072772,5,289.3925377736664,1663,7797.446793297246,2600
javas,j,a,v,a,s,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,1.8501387604070305,1.0699969164353993,8.279370952821461,9.23527597903176,30.511871723712613,10.275979031760716,59.64384828862165,21.02991057662658,4,238.5753931544866,3572,5017.219183822383,6523
javel,j,a,v,e,l,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,1.8501387604070305,1.0699969164353993,17.9386370644465,10.271353684859697,3.669441874807277,5.197348134443416,42.46068455134135,26.222633364168978,5,212.30342275670677,4864.5,5567.15481690729,5522
jawan,j,a,w,a,n,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,2.0891150169596053,1.6019118100524206,8.279370952821461,9.23527597903176,4.085723095898859,4.551341350601295,33.45667591736047,15.837187789084181,4,133.82670366944188,10511,2119.438637207072,12047
jawed,j,a,w,e,d,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,2.0891150169596053,1.6019118100524206,17.9386370644465,10.271353684859697,6.344434165895775,3.781991982732038,45.37465309898242,25.33919210607462,5,226.87326549491212,4149.5,5748.785258108048,5211
jaxie,j,a,x,i,e,1.557200123342584,0.4486586493987049,17.44526672833796,9.23527597903176,1.0252852297255628,0.44403330249768735,6.7838421214924445,5.795559666975024,11.732963305581253,10.271353684859697,38.544557508479805,26.194881282762875,5,192.72278754239903,5922,5048.350540156274,6465
jeans,j,e,a,n,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,9.528214616096207,9.23527597903176,6.074622263336417,4.551341350601295,30.511871723712613,10.275979031760716,60.22201665124884,34.78260869565217,5,301.1100832562442,1279,10473.39420021719,807
jeats,j,e,a,t,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,9.528214616096207,9.23527597903176,6.922602528522972,5.080172679617638,30.511871723712613,10.275979031760716,61.0699969164354,35.311440024668514,5,305.349984582177,1151.5,10782.347667106998,671
jebel,j,e,b,e,l,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,2.582485353068147,2.5084798026518653,17.9386370644465,10.271353684859697,3.669441874807277,5.197348134443416,38.29787234042553,18.425840271353685,4,153.1914893617021,9020,2822.6819139095005,10875
jedis,j,e,d,i,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,3.006475485661425,3.781991982732038,6.7838421214924445,5.795559666975024,30.511871723712613,10.275979031760716,54.40949737897009,30.57354301572618,5,272.0474868948504,2253.5,8317.455542899914,2133
jeels,j,e,e,l,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.799259944495837,10.271353684859697,5.943570767807586,5.197348134443416,30.511871723712613,10.275979031760716,57.362010484119644,26.193339500462535,4,229.44804193647857,4014,6010.010460158549,4797
jeely,j,e,e,l,y,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.799259944495837,10.271353684859697,5.943570767807586,5.197348134443416,10.029293863706444,3.1976564909034844,36.87943262411348,19.115016959605303,4,147.5177304964539,9482,2819.8039202822006,10884
jeeps,j,e,e,p,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.799259944495837,10.271353684859697,3.2223250077089114,3.112858464384829,30.511871723712613,10.275979031760716,54.64076472402097,24.108849830403948,4,218.56305889608387,4572,5269.30396539942,6062
jeers,j,e,e,r,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.799259944495837,10.271353684859697,5.542707369719396,6.410730804810361,30.511871723712613,10.275979031760716,56.96114708603145,27.40672217082948,4,227.8445883441258,4103.5,6244.473330874469,4443
jeeze,j,e,e,z,e,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.799259944495837,10.271353684859697,0.971322849213691,0.6691335183472094,11.732963305581253,10.271353684859697,33.610854147394384,11.389145852605612,3,100.83256244218316,12247,1148.3967603459869,12863
jefes,j,e,f,e,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,1.3721862473018809,1.719087264878199,17.9386370644465,10.271353684859697,30.511871723712613,10.275979031760716,63.9300030835646,22.715078630897317,4,255.7200123342584,2826.5,5808.700187666711,5096
jeffs,j,e,f,f,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,1.3721862473018809,1.719087264878199,1.7961763798951587,1.719087264878199,30.511871723712613,10.275979031760716,47.78754239901326,22.715078630897317,4,191.15016959605305,6029.5,4341.991132683703,7807
jehad,j,e,h,a,d,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,0.9250693802035153,2.713536848596978,8.279370952821461,9.23527597903176,6.344434165895775,3.781991982732038,29.656182547024358,26.45081714461918,5,148.28091273512177,9424.5,3922.1513087939397,8629
jehus,j,e,h,u,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,0.9250693802035153,2.713536848596978,3.0912735121800803,3.8714153561517115,30.511871723712613,10.275979031760716,48.63552266419981,27.580943570767808,5,243.17761332099906,3352,6707.068030680469,3793
jelab,j,e,l,a,b,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.537156953438175,5.197348134443416,8.279370952821461,9.23527597903176,0.4548257786000617,2.5084798026518653,29.378661732963305,27.661116250385444,5,146.89330866481652,9529.5,4063.232887381241,8345
jello,j,e,l,l,o,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.537156953438175,5.197348134443416,5.943570767807586,5.197348134443416,2.998766574159729,6.842429848905334,29.586802343509095,22.759790317607152,4,118.34720937403638,11466.5,2693.5576700270194,11113
jells,j,e,l,l,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,6.537156953438175,5.197348134443416,5.943570767807586,5.197348134443416,30.511871723712613,10.275979031760716,57.09990749306198,26.193339500462535,4,228.3996299722479,4071,5982.5490496431075,4835
jembe,j,e,m,b,e,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,3.939253777366636,3.046561825470244,1.8732654949121186,2.5084798026518653,11.732963305581253,10.271353684859697,31.652790625963615,16.27505396238051,4,126.61116250385446,10989,2060.603501989959,12124
jemmy,j,e,m,m,y,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,3.939253777366636,3.046561825470244,3.0989824236817762,3.046561825470244,10.029293863706444,3.1976564909034844,31.174838112858463,16.964230650632132,4,124.69935245143385,11109.5,2115.4285769705934,12053
jenny,j,e,n,n,y,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,7.431390687634906,4.551341350601295,6.074622263336417,4.551341350601295,10.029293863706444,3.1976564909034844,37.64261486278137,18.46901017576318,4,150.5704594511255,9236,2780.887347772174,10945
jeons,j,e,o,n,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,7.654949121184089,6.842429848905334,6.074622263336417,4.551341350601295,30.511871723712613,10.275979031760716,58.348751156336725,32.38976256552575,5,291.7437557816836,1588.5,9449.510979743463,1319
jerid,j,e,r,i,d,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,9.23527597903176,6.410730804810361,6.7838421214924445,5.795559666975024,6.344434165895775,3.781991982732038,36.470860314523584,26.708294788775824,5,182.3543015726179,6626.5,4870.372442402806,6813
jerks,j,e,r,k,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,9.23527597903176,6.410730804810361,3.8775824853530683,2.320382362010484,30.511871723712613,10.275979031760716,57.73203823620105,29.727104532839963,5,288.66019118100525,1682.5,8581.031677707311,1911
jerry,j,e,r,r,y,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,9.23527597903176,6.410730804810361,5.542707369719396,6.410730804810361,10.029293863706444,3.1976564909034844,38.9145852605612,20.328399629972246,4,155.6583410422448,8804,3164.2849624452633,10226
jesse,j,e,s,s,e,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,4.108849830403947,10.275979031760716,3.9777983348751156,10.275979031760716,11.732963305581253,10.271353684859697,33.92691951896392,20.99599136601912,3,101.78075855689175,12208,2136.987927887376,12023
jests,j,e,s,t,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,4.108849830403947,10.275979031760716,6.922602528522972,5.080172679617638,30.511871723712613,10.275979031760716,55.65063213074314,26.076164045636755,4,222.60252852297256,4360.5,5804.620050738567,5099
jesus,j,e,s,u,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,4.108849830403947,10.275979031760716,3.0912735121800803,3.8714153561517115,30.511871723712613,10.275979031760716,51.81930311440025,24.86740672217083,4,207.277212457601,5101,5154.446746420978,6286
jetes,j,e,t,e,s,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,4.748689485044712,5.080172679617638,17.9386370644465,10.271353684859697,30.511871723712613,10.275979031760716,67.30650632130742,26.076164045636755,4,269.2260252852297,2352.5,7020.382000692399,3396
jeton,j,e,t,o,n,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,4.748689485044712,5.080172679617638,5.38082022818378,6.842429848905334,4.085723095898859,4.551341350601295,28.32254085723096,27.19395621338267,5,141.61270428615478,9932,3851.009679616402,8794
jeune,j,e,u,n,e,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,5.141843971631205,3.8714153561517115,6.074622263336417,4.551341350601295,11.732963305581253,10.271353684859697,37.05673758865248,19.14276904101141,4,148.22695035460993,9429.5,2837.474276291762,10849
jewed,j,e,w,e,d,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,2.0891150169596053,1.6019118100524206,17.9386370644465,10.271353684859697,6.344434165895775,3.781991982732038,40.47949429540549,16.10391612704286,4,161.91797718162195,8237,2607.5135239932797,11284
jewie,j,e,w,i,e,1.557200123342584,0.4486586493987049,12.550107924761022,10.271353684859697,2.0891150169596053,1.6019118100524206,6.7838421214924445,5.795559666975024,11.732963305581253,10.271353684859697,34.713228492136906,18.117483811285847,4,138.85291396854763,10146,2515.665420975028,11441
jhala,j,h,a,l,a,1.557200123342584,0.4486586493987049,4.2090656799259945,2.713536848596978,9.528214616096207,9.23527597903176,5.943570767807586,5.197348134443416,5.242059821153253,9.23527597903176,26.480111008325625,17.59481961147086,4,105.9204440333025,12060.5,1863.6511059328525,12350
jiaos,j,i,a,o,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,9.528214616096207,9.23527597903176,5.38082022818378,6.842429848905334,30.511871723712613,10.275979031760716,57.6395312981807,32.59790317607154,5,288.1976564909035,1696.5,9394.639301861198,1344
